Codigo de Atendimento;Clínica ;CPF ;Data;Dia;Tempo de Espera em minutos ;Tipo de Exame ;Horario Agendamento;Turno
183;CLIGIA;23985835972;08/ago;Sex;29;Exames de retina;16:00:00;Tarde
184;CLIDRI;84176929108;08/ago;Sex;7;Exames de sangue;17:00:00;Tarde
185;CLIDRI;38946164737;05/ago;Ter;18;Raio-x do tórax;08:00:00;Manhã 
186;CLIEDA;44284977520;06/ago;Qua;6;Exames de sangue;17:00:00;Tarde
187;CLIDRI;62402263171;08/ago;Sex;16;Exames de retina;17:00:00;Tarde
188;CLIGIA;53568477116;07/ago;Qui;23;Exames de retina;09:00:00;Manhã 
189;CLIEDA;34352781914;08/ago;Sex;27;Exames de retina;16:00:00;Tarde
190;CLIEDA;31487651796;06/ago;Qua;30;Raio-x do tórax;16:00:00;Tarde
191;CLIGIA;30037501144;08/ago;Sex;24;Raio-x do tórax;10:00:00;Manhã 
192;CLIEDA;57647589365;07/ago;Qui;14;Testes de Covid;11:00:00;Manhã 
193;CLIDRI;24313383822;08/ago;Sex;28;Exames de sangue;17:00:00;Tarde
194;CLIDRI;62990952680;06/ago;Qua;23;Exames de sangue;15:00:00;Tarde
195;CLIDRI;32701555378;08/ago;Sex;7;Raio-x do tórax;15:00:00;Tarde
196;CLIDRI;67237620500;06/ago;Qua;19;Raio-x do tórax;14:00:00;Tarde
197;CLIEDA;49865831928;06/ago;Qua;19;Exames de urina;13:00:00;Tarde
198;CLIDRI;56726231097;08/ago;Sex;22;Exames de urina;15:00:00;Tarde
199;CLIGIA;71184576521;06/ago;Qua;14;Testes de Covid;08:00:00;Manhã 
200;CLIGIA;44532623768;04/ago;Seg;12;Exames de retina;12:00:00;Manhã 
201;CLIEDA;36390123920;04/ago;Seg;17;Exames de sangue;11:00:00;Manhã 
202;CLIDRI;67306095217;05/ago;Ter;28;Raio-x do tórax;08:00:00;Manhã 
203;CLIGIA;12700914448;06/ago;Qua;13;Testes de Covid;08:00:00;Manhã 
204;CLIDRI;95403445730;04/ago;Seg;21;Exames de sangue;08:00:00;Manhã 
205;CLIDRI;35735281756;07/ago;Qui;14;Exames de sangue;16:00:00;Tarde
206;CLIDRI;78632820535;08/ago;Sex;19;Exames de sangue;11:00:00;Manhã 
207;CLIEDA;32691969278;04/ago;Seg;21;Exames de sangue;11:00:00;Manhã 
208;CLIGIA;31503984351;06/ago;Qua;26;Exames de retina;08:00:00;Manhã 
209;CLIDRI;45343911494;07/ago;Qui;18;Testes de Covid;10:00:00;Manhã 
210;CLIGIA;85178880460;05/ago;Ter;30;Exames de retina;16:00:00;Tarde
211;CLIEDA;61727278151;04/ago;Seg;5;Exames de retina;13:00:00;Tarde
212;CLIGIA;52088747246;06/ago;Qua;14;Exames de sangue;12:00:00;Manhã 
213;CLIGIA;34476616990;08/ago;Sex;23;Exames de retina;09:00:00;Manhã 
214;CLIEDA;91660070005;05/ago;Ter;9;Exames de urina;10:00:00;Manhã 
215;CLIDRI;51215151558;08/ago;Sex;20;Exames de sangue;13:00:00;Tarde
216;CLIGIA;38956535109;08/ago;Sex;16;Exames de sangue;14:00:00;Tarde
217;CLIEDA;25861718418;08/ago;Sex;30;Testes de Covid;15:00:00;Tarde
218;CLIDRI;77491583808;06/ago;Qua;7;Raio-x do tórax;09:00:00;Manhã 
219;CLIDRI;99428270139;06/ago;Qua;12;Raio-x do tórax;12:00:00;Manhã 
220;CLIDRI;61623145074;07/ago;Qui;16;Exames de retina;12:00:00;Manhã 
221;CLIEDA;55428256954;05/ago;Ter;12;Exames de sangue;17:00:00;Tarde
222;CLIGIA;12388428007;05/ago;Ter;16;Raio-x do tórax;14:00:00;Tarde
223;CLIDRI;33054381293;07/ago;Qui;20;Testes de Covid;11:00:00;Manhã 
224;CLIEDA;46041048451;08/ago;Sex;8;Exames de sangue;17:00:00;Tarde
225;CLIDRI;62548964794;04/ago;Seg;17;Exames de sangue;13:00:00;Tarde
226;CLIGIA;16722063944;08/ago;Sex;11;Exames de urina;14:00:00;Tarde
227;CLIGIA;55515689674;08/ago;Sex;16;Testes de Covid;10:00:00;Manhã 
228;CLIDRI;34117145307;08/ago;Sex;17;Exames de retina;13:00:00;Tarde
229;CLIGIA;58284912497;04/ago;Seg;15;Raio-x do tórax;14:00:00;Tarde
230;CLIEDA;84525882906;07/ago;Qui;5;Testes de Covid;11:00:00;Manhã 
231;CLIDRI;32081675828;05/ago;Ter;8;Exames de urina;13:00:00;Tarde
232;CLIGIA;46699656032;07/ago;Qui;9;Raio-x do tórax;13:00:00;Tarde
233;CLIDRI;79030426862;07/ago;Qui;10;Testes de Covid;12:00:00;Manhã 
234;CLIDRI;63592506591;07/ago;Qui;16;Exames de urina;08:00:00;Manhã 
235;CLIGIA;60117107440;07/ago;Qui;11;Exames de urina;14:00:00;Tarde
236;CLIDRI;61773128267;07/ago;Qui;10;Testes de Covid;15:00:00;Tarde
237;CLIEDA;73534270518;07/ago;Qui;8;Exames de urina;12:00:00;Manhã 
238;CLIGIA;74258791841;07/ago;Qui;13;Testes de Covid;17:00:00;Tarde
239;CLIEDA;79164418493;07/ago;Qui;6;Exames de sangue;10:00:00;Manhã 
240;CLIGIA;95942889501;07/ago;Qui;10;Exames de sangue;11:00:00;Manhã 
241;CLIDRI;11422566160;05/ago;Ter;19;Testes de Covid;16:00:00;Tarde
242;CLIEDA;31878672916;05/ago;Ter;6;Testes de Covid;10:00:00;Manhã 
243;CLIDRI;23349262451;05/ago;Ter;20;Exames de sangue;15:00:00;Tarde
244;CLIDRI;21218951005;04/ago;Seg;9;Exames de sangue;12:00:00;Manhã 
245;CLIDRI;38112896695;06/ago;Qua;18;Exames de urina;14:00:00;Tarde
246;CLIEDA;49392448689;08/ago;Sex;19;Exames de urina;08:00:00;Manhã 
247;CLIDRI;29196803755;04/ago;Seg;8;Exames de retina;08:00:00;Manhã 
248;CLIEDA;58192981020;08/ago;Sex;8;Exames de sangue;08:00:00;Manhã 
249;CLIEDA;22230534725;04/ago;Seg;18;Testes de Covid;17:00:00;Tarde
250;CLIEDA;20588218541;08/ago;Sex;15;Exames de sangue;14:00:00;Tarde
251;CLIEDA;38541859478;04/ago;Seg;28;Raio-x do tórax;11:00:00;Manhã 
252;CLIEDA;51590235906;04/ago;Seg;6;Raio-x do tórax;15:00:00;Tarde
253;CLIDRI;67380430063;06/ago;Qua;10;Raio-x do tórax;14:00:00;Tarde
254;CLIGIA;89086121159;07/ago;Qui;0;Raio-x do tórax;17:00:00;Tarde
255;CLIEDA;49848512228;07/ago;Qui;20;Exames de retina;10:00:00;Manhã 
256;CLIDRI;57448354550;04/ago;Seg;6;Raio-x do tórax;12:00:00;Manhã 
257;CLIGIA;62918926829;05/ago;Ter;13;Raio-x do tórax;14:00:00;Tarde
258;CLIEDA;62599219068;08/ago;Sex;16;Testes de Covid;09:00:00;Manhã 
259;CLIEDA;78122055117;05/ago;Ter;17;Testes de Covid;14:00:00;Tarde
260;CLIEDA;29825695928;07/ago;Qui;18;Raio-x do tórax;11:00:00;Manhã 
261;CLIDRI;35320513699;08/ago;Sex;20;Exames de sangue;13:00:00;Tarde
262;CLIEDA;78084608307;04/ago;Seg;14;Testes de Covid;10:00:00;Manhã 
263;CLIGIA;14111121857;05/ago;Ter;15;Exames de retina;15:00:00;Tarde
264;CLIGIA;45257163471;07/ago;Qui;15;Raio-x do tórax;11:00:00;Manhã 
265;CLIDRI;80657706194;07/ago;Qui;12;Exames de retina;11:00:00;Manhã 
266;CLIDRI;88828334385;08/ago;Sex;20;Exames de retina;13:00:00;Tarde
267;CLIEDA;91112857653;05/ago;Ter;18;Raio-x do tórax;08:00:00;Manhã 
268;CLIGIA;28302405337;06/ago;Qua;19;Raio-x do tórax;16:00:00;Tarde
269;CLIGIA;60346466656;05/ago;Ter;20;Exames de urina;08:00:00;Manhã 
270;CLIEDA;35026217312;05/ago;Ter;15;Testes de Covid;10:00:00;Manhã 
271;CLIGIA;63516044249;06/ago;Qua;8;Exames de retina;17:00:00;Tarde
272;CLIDRI;60954437283;07/ago;Qui;6;Raio-x do tórax;10:00:00;Manhã 
273;CLIGIA;32546364164;07/ago;Qui;5;Raio-x do tórax;12:00:00;Manhã 
274;CLIEDA;27251642349;07/ago;Qui;19;Testes de Covid;13:00:00;Tarde
275;CLIGIA;16556240459;07/ago;Qui;6;Exames de sangue;13:00:00;Tarde
276;CLIGIA;16387241746;07/ago;Qui;11;Exames de sangue;16:00:00;Tarde
277;CLIGIA;91573162125;07/ago;Qui;15;Raio-x do tórax;12:00:00;Manhã 
278;CLIDRI;77362476039;07/ago;Qui;7;Exames de sangue;09:00:00;Manhã 
279;CLIEDA;71943306116;07/ago;Qui;9;Exames de urina;17:00:00;Tarde
280;CLIDRI;59561213122;07/ago;Qui;5;Raio-x do tórax;10:00:00;Manhã 
281;CLIGIA;66484051750;07/ago;Qui;8;Exames de retina;10:00:00;Manhã 
282;CLIEDA;54416957769;08/ago;Sex;11;Exames de urina;14:00:00;Tarde
283;CLIGIA;35967362901;08/ago;Sex;16;Exames de sangue;15:00:00;Tarde
284;CLIDRI;47434663448;08/ago;Sex;17;Raio-x do tórax;12:00:00;Manhã 
285;CLIGIA;87986450710;08/ago;Sex;5;Exames de sangue;15:00:00;Tarde
286;CLIDRI;89268764818;08/ago;Sex;14;Exames de urina;11:00:00;Manhã 
287;CLIGIA;71164410367;08/ago;Sex;19;Exames de urina;15:00:00;Tarde
288;CLIEDA;92783416019;08/ago;Sex;20;Exames de urina;17:00:00;Tarde
289;CLIGIA;61790675342;08/ago;Sex;10;Exames de retina;12:00:00;Manhã 
290;CLIGIA;92708142188;08/ago;Sex;14;Testes de Covid;16:00:00;Tarde
291;CLIDRI;32969259488;08/ago;Sex;10;Exames de urina;08:00:00;Manhã 
292;CLIGIA;33756168646;08/ago;Sex;14;Raio-x do tórax;08:00:00;Manhã 
293;CLIGIA;15012233099;08/ago;Sex;10;Raio-x do tórax;08:00:00;Manhã 
294;CLIGIA;87463534742;08/ago;Sex;11;Testes de Covid;12:00:00;Manhã 
295;CLIGIA;91808633775;08/ago;Sex;7;Exames de retina;11:00:00;Manhã 
296;CLIGIA;76414072176;08/ago;Sex;17;Raio-x do tórax;08:00:00;Manhã 
297;CLIEDA;80527065226;08/ago;Sex;17;Exames de urina;09:00:00;Manhã 
298;CLIEDA;78900439630;08/ago;Sex;19;Testes de Covid;13:00:00;Tarde
299;CLIGIA;40927462332;08/ago;Sex;16;Raio-x do tórax;08:00:00;Manhã 
300;CLIGIA;83174527966;08/ago;Sex;11;Testes de Covid;13:00:00;Tarde
301;CLIEDA;22818770593;07/ago;Qui;9;Exames de urina;17:00:00;Tarde
302;CLIGIA;16389217287;06/ago;Qua;8;Testes de Covid;12:00:00;Manhã 
303;CLIDRI;42095379977;07/ago;Qui;18;Exames de urina;17:00:00;Tarde
304;CLIEDA;88424998721;06/ago;Qua;9;Exames de retina;14:00:00;Tarde
305;CLIDRI;78369400576;05/ago;Ter;10;Raio-x do tórax;15:00:00;Tarde
306;CLIDRI;14673090751;04/ago;Seg;13;Exames de urina;08:00:00;Manhã 
307;CLIGIA;87166447823;05/ago;Ter;7;Raio-x do tórax;10:00:00;Manhã 
308;CLIGIA;60560992731;08/ago;Sex;19;Raio-x do tórax;13:00:00;Tarde
309;CLIEDA;45176599650;07/ago;Qui;15;Testes de Covid;11:00:00;Manhã 
310;CLIEDA;84410192604;04/ago;Seg;15;Testes de Covid;08:00:00;Manhã 
